coursera_subject,coursera_subject_readable,FL_category
Business,Business,business_and_management
Computer%20Science,Computer Science,it_and_computer_science
Data%20Science,Data Science,it_and_computer_science
Information%20Technology,Information Technology,it_and_computer_science
Health,Health,healthcare_medicine
Social%20Sciences,Social Sciences,politics_and_society
Physical%20Science%20and%20Engineering,Physical Science and Engineering,science_engineering_and_maths
Arts%20and%20Humanities,Arts and Humanities,creative_arts_and_media
Language%20Learning,Language Learning,language
Personal%20Development,Personal Development,study_skills
Math%20and%20Logic,Math and Logic,science_engineering_and_maths